Date,Open,High,Low,Close,Volume
07/02/2026,340.2,340.2,340.2,340.2,"281,981"
07/01/2026,340.2,340.2,340.2,340.2,"122,258"
06/30/2026,340.2,340.2,340.2,340.2,"376,282"
06/29/2026,340.2,340.2,340.2,340.2,"185,604"
06/26/2026,340.2,340.2,340.2,340.2,"638,712"
06/25/2026,340.2,340.2,340.2,340.2,"949,516"
06/24/2026,340.2,340.2,340.2,340.2,"316,492"
06/23/2026,378,378,378,378,"145,192"
06/22/2026,378,378,378,378,"355,345"
06/19/2026,378,378,378,378,"246,707"
06/18/2026,378,378,378,378,"851,239"
06/17/2026,378,378,378,378,"1,267,047"
06/16/2026,378,378,378,378,"1,086,132"
06/15/2026,378,378,378,378,"799,442"
06/11/2026,378,378,378,378,"539,057"
06/10/2026,378,378,378,378,"611,344"
06/09/2026,378,378,378,378,"405,567"
06/08/2026,378,378,378,378,"820,029"
06/05/2026,378,378,378,378,"701,609"
06/04/2026,378,378,378,378,"559,016"
06/03/2026,378,378,378,378,"816,453"
06/02/2026,378,378,378,378,"1,243,196"
