Date,Open,High,Low,Close,Volume
09/23/2026,"297.00","297.00","297.00","297.00","1,181,093"
09/22/2026,"297.00","297.00","297.00","297.00","2,636,776"
09/21/2026,"297.00","297.00","297.00","297.00","2,080,278"
09/18/2026,"297.00","297.00","297.00","297.00","4,834,082"
09/17/2026,"297.00","297.00","297.00","297.00","4,393,942"
09/16/2026,"270.00","270.00","270.00","270.00","1,185,602"
09/15/2026,"270.00","270.00","270.00","270.00","1,665,688"
09/14/2026,"278.10","278.10","278.10","278.10","358,785"
09/11/2026,"278.10","278.10","278.10","278.10","632,258"
09/10/2026,"278.10","278.10","278.10","278.10","2,036,955"
09/09/2026,"278.10","278.10","278.10","278.10","435,900"
09/08/2026,"309.00","309.00","309.00","309.00","313,721"
09/07/2026,"309.00","309.00","309.00","309.00","822,286"
09/04/2026,"309.00","309.00","309.00","309.00","1,088,973"
09/03/2026,"309.00","309.00","309.00","309.00","592,698"
09/02/2026,"309.00","309.00","309.00","309.00","3,551,217"
09/01/2026,"309.00","309.00","309.00","309.00","4,604,474"
08/31/2026,"309.00","309.00","309.00","309.00","2,897,695"
08/28/2026,"316.00","316.00","316.00","316.00","456,904"
08/27/2026,"316.00","316.00","316.00","316.00","285,929"
08/26/2026,"316.00","316.00","316.00","316.00","549,630"
08/24/2026,"316.00","316.00","316.00","316.00","1,024,520"
