Date,Open,High,Low,Close,Volume
09/23/2026,"60.10","60.10","60.10","60.10","538,784"
09/22/2026,"60.10","60.10","60.10","60.10","1,199,764"
09/21/2026,"55.50","55.50","55.50","55.50","1,768,860"
09/18/2026,"53.00","53.00","53.00","53.00","1,293,730"
09/17/2026,"58.45","58.45","58.45","58.45","230,130"
09/16/2026,"58.45","58.45","58.45","58.45","407,228"
09/15/2026,"58.45","58.45","58.45","58.45","680,741"
09/14/2026,"58.45","58.45","58.45","58.45","524,107"
09/11/2026,"58.45","58.45","58.45","58.45","427,722"
09/10/2026,"58.45","58.45","58.45","58.45","503,737"
09/09/2026,"58.45","58.45","58.45","58.45","2,369,423"
09/08/2026,"64.90","64.90","64.90","64.90","517,619"
09/07/2026,"64.90","64.90","64.90","64.90","802,885"
09/04/2026,"64.90","64.90","64.90","64.90","321,946"
09/03/2026,"64.90","64.90","64.90","64.90","258,382"
09/02/2026,"64.90","64.90","64.90","64.90","427,311"
09/01/2026,"64.90","64.90","64.90","64.90","980,888"
08/31/2026,"64.90","64.90","64.90","64.90","866,000"
08/28/2026,"64.90","64.90","64.90","64.90","122,336"
08/27/2026,"64.90","64.90","64.90","64.90","223,822"
08/26/2026,"64.90","64.90","64.90","64.90","186,412"
08/24/2026,"64.90","64.90","64.90","64.90","259,432"
