Date,Open,High,Low,Close,Volume
09/23/2026,"1,066.70","1,066.70","1,066.70","1,066.70","1,406,766"
09/22/2026,"1,068.00","1,068.00","1,068.00","1,068.00","2,092,870"
09/21/2026,"1,050.00","1,050.00","1,050.00","1,050.00","493,145"
09/18/2026,"1,050.00","1,050.00","1,050.00","1,050.00","2,476,364"
09/17/2026,"1,034.00","1,034.00","1,034.00","1,034.00","436,114"
09/16/2026,"1,034.00","1,034.00","1,034.00","1,034.00","208,895"
09/15/2026,"1,034.00","1,034.00","1,034.00","1,034.00","234,171"
09/14/2026,"1,034.00","1,034.00","1,034.00","1,034.00","353,100"
09/11/2026,"1,034.00","1,034.00","1,034.00","1,034.00","190,103"
09/10/2026,"1,034.00","1,034.00","1,034.00","1,034.00","471,304"
09/09/2026,"1,034.00","1,034.00","1,034.00","1,034.00","268,947"
09/08/2026,"1,034.00","1,034.00","1,034.00","1,034.00","327,877"
09/07/2026,"1,034.00","1,034.00","1,034.00","1,034.00","1,474,537"
09/04/2026,"1,034.00","1,034.00","1,034.00","1,034.00","3,136,750"
09/03/2026,"1,034.00","1,034.00","1,034.00","1,034.00","836,045"
09/02/2026,"1,034.00","1,034.00","1,034.00","1,034.00","2,046,818"
09/01/2026,"1,034.00","1,034.00","1,034.00","1,034.00","1,083,943"
08/31/2026,"1,034.00","1,034.00","1,034.00","1,034.00","878,097"
08/28/2026,"1,034.00","1,034.00","1,034.00","1,034.00","324,953"
08/27/2026,"1,034.00","1,034.00","1,034.00","1,034.00","423,053"
08/26/2026,"1,034.00","1,034.00","1,034.00","1,034.00","422,376"
08/24/2026,"1,034.00","1,034.00","1,034.00","1,034.00","121,520"
