Date,Open,High,Low,Close,Volume
09/23/2026,"11.10","11.10","11.10","11.10","10,437,321"
09/22/2026,"11.10","11.10","11.10","11.10","22,305,881"
09/21/2026,"11.15","11.15","11.15","11.15","19,727,160"
09/18/2026,"11.10","11.10","11.10","11.10","12,042,966"
09/17/2026,"11.45","11.45","11.45","11.45","12,760,256"
09/16/2026,"11.15","11.15","11.15","11.15","13,232,518"
09/15/2026,"10.95","10.95","10.95","10.95","10,500,816"
09/14/2026,"10.90","10.90","10.90","10.90","8,172,873"
09/11/2026,"11.00","11.00","11.00","11.00","10,188,463"
09/10/2026,"10.80","10.80","10.80","10.80","8,402,396"
09/09/2026,"10.75","10.75","10.75","10.75","16,226,156"
09/08/2026,"11.30","11.30","11.30","11.30","26,346,148"
09/07/2026,"11.55","11.55","11.55","11.55","25,635,037"
09/04/2026,"11.90","11.90","11.90","11.90","7,549,917"
09/03/2026,"11.90","11.90","11.90","11.90","3,728,523"
09/02/2026,"11.70","11.70","11.70","11.70","7,863,705"
09/01/2026,"11.65","11.65","11.65","11.65","10,958,442"
08/31/2026,"11.70","11.70","11.70","11.70","24,954,885"
08/28/2026,"11.05","11.05","11.05","11.05","5,999,035"
08/27/2026,"11.00","11.00","11.00","11.00","6,204,863"
08/26/2026,"11.10","11.10","11.10","11.10","11,535,483"
08/24/2026,"11.45","11.45","11.45","11.45","25,421,787"
