Date,Open,High,Low,Close,Volume
09/23/2026,"20.10","20.10","20.10","20.10","170,719,500"
09/22/2026,"20.10","20.10","20.10","20.10","165,433,609"
09/21/2026,"19.35","19.35","19.35","19.35","9,567,171"
09/18/2026,"19.10","19.10","19.10","19.10","14,071,105"
09/17/2026,"19.80","19.80","19.80","19.80","524,332,812"
09/16/2026,"20.05","20.05","20.05","20.05","43,325,684"
09/15/2026,"20.00","20.00","20.00","20.00","29,436,908"
09/14/2026,"20.00","20.00","20.00","20.00","25,844,348"
09/11/2026,"19.00","19.00","19.00","19.00","67,567,453"
09/10/2026,"18.70","18.70","18.70","18.70","9,120,300"
09/09/2026,"19.00","19.00","19.00","19.00","9,226,131"
09/08/2026,"19.35","19.35","19.35","19.35","27,949,168"
09/07/2026,"19.70","19.70","19.70","19.70","12,979,767"
09/04/2026,"20.00","20.00","20.00","20.00","24,069,756"
09/03/2026,"19.50","19.50","19.50","19.50","15,704,834"
09/02/2026,"20.00","20.00","20.00","20.00","5,780,654"
09/01/2026,"20.50","20.50","20.50","20.50","10,029,411"
08/31/2026,"20.00","20.00","20.00","20.00","8,963,215"
08/28/2026,"19.20","19.20","19.20","19.20","5,170,500"
08/27/2026,"18.95","18.95","18.95","18.95","2,458,666"
08/26/2026,"18.90","18.90","18.90","18.90","8,890,118"
08/24/2026,"18.80","18.80","18.80","18.80","5,407,327"
