Date,Open,High,Low,Close,Volume
09/23/2026,"137.50","137.50","137.50","137.50","86,185,422"
09/22/2026,"137.30","137.30","137.30","137.30","45,919,223"
09/21/2026,"133.90","133.90","133.90","133.90","25,855,070"
09/18/2026,"130.00","130.00","130.00","130.00","18,480,664"
09/17/2026,"130.00","130.00","130.00","130.00","34,229,777"
09/16/2026,"130.00","130.00","130.00","130.00","40,546,105"
09/15/2026,"130.00","130.00","130.00","130.00","37,476,945"
09/14/2026,"130.00","130.00","130.00","130.00","15,875,326"
09/11/2026,"129.80","129.80","129.80","129.80","29,478,301"
09/10/2026,"129.90","129.90","129.90","129.90","25,736,252"
09/09/2026,"128.00","128.00","128.00","128.00","17,625,684"
09/08/2026,"129.70","129.70","129.70","129.70","19,043,213"
09/07/2026,"131.70","131.70","131.70","131.70","16,965,893"
09/04/2026,"132.70","132.70","132.70","132.70","20,154,676"
09/03/2026,"132.70","132.70","132.70","132.70","34,254,277"
09/02/2026,"133.00","133.00","133.00","133.00","15,077,991"
09/01/2026,"133.60","133.60","133.60","133.60","32,101,596"
08/31/2026,"133.00","133.00","133.00","133.00","33,178,434"
08/28/2026,"129.00","129.00","129.00","129.00","18,730,713"
08/27/2026,"128.00","128.00","128.00","128.00","37,468,801"
08/26/2026,"127.60","127.60","127.60","127.60","22,268,695"
08/24/2026,"127.70","127.70","127.70","127.70","9,400,732"
