Date,Open,High,Low,Close,Volume
09/23/2026,"384.80","384.80","384.80","384.80","102,527"
09/22/2026,"384.80","384.80","384.80","384.80","727,122"
09/21/2026,"384.80","384.80","384.80","384.80","91,228"
09/18/2026,"384.80","384.80","384.80","384.80","61,123"
09/17/2026,"384.80","384.80","384.80","384.80","141,111"
09/16/2026,"384.80","384.80","384.80","384.80","410,978"
09/15/2026,"384.80","384.80","384.80","384.80","42,583"
09/14/2026,"384.80","384.80","384.80","384.80","465,688"
09/11/2026,"384.80","384.80","384.80","384.80","450,809"
09/10/2026,"384.80","384.80","384.80","384.80","757,379"
09/09/2026,"384.80","384.80","384.80","384.80","25,067"
09/08/2026,"384.80","384.80","384.80","384.80","66,823"
09/07/2026,"384.80","384.80","384.80","384.80","153,489"
09/04/2026,"384.80","384.80","384.80","384.80","476,244"
09/03/2026,"384.80","384.80","384.80","384.80","603,395"
09/02/2026,"384.80","384.80","384.80","384.80","606,443"
09/01/2026,"384.80","384.80","384.80","384.80","663,977"
08/31/2026,"384.80","384.80","384.80","384.80","607,248"
08/28/2026,"384.80","384.80","384.80","384.80","706,790"
08/27/2026,"376.00","376.00","376.00","376.00","125,675"
08/26/2026,"376.00","376.00","376.00","376.00","118,686"
08/24/2026,"376.00","376.00","376.00","376.00","91,939"
