Date,Open,High,Low,Close,Volume
09/23/2026,"310.80","310.80","310.80","310.80","8,018"
09/22/2026,"310.80","310.80","310.80","310.80","7,059"
09/21/2026,"310.80","310.80","310.80","310.80","9,206"
09/18/2026,"310.80","310.80","310.80","310.80","4,153"
09/17/2026,"310.80","310.80","310.80","310.80","8,811"
09/16/2026,"310.80","310.80","310.80","310.80","29,461"
09/15/2026,"310.80","310.80","310.80","310.80","16,065"
09/14/2026,"310.80","310.80","310.80","310.80","3,526"
09/11/2026,"310.80","310.80","310.80","310.80","4,418"
09/10/2026,"310.80","310.80","310.80","310.80","2,615"
09/09/2026,"310.80","310.80","310.80","310.80","1,908"
09/08/2026,"310.80","310.80","310.80","310.80","12,482"
09/07/2026,"310.80","310.80","310.80","310.80","16,579"
09/04/2026,"310.80","310.80","310.80","310.80","7,934"
09/03/2026,"310.80","310.80","310.80","310.80","30,735"
09/02/2026,"310.80","310.80","310.80","310.80","3,129"
09/01/2026,"310.80","310.80","310.80","310.80","4,591"
08/31/2026,"310.80","310.80","310.80","310.80","9,725"
08/28/2026,"310.80","310.80","310.80","310.80","11,448"
08/27/2026,"310.80","310.80","310.80","310.80","6,947"
08/26/2026,"310.80","310.80","310.80","310.80","8,232"
08/24/2026,"310.80","310.80","310.80","310.80","16,245"
