Date,Open,High,Low,Close,Volume
09/23/2026,"855.00","855.00","855.00","855.00","2,456,362"
09/22/2026,"850.00","850.00","850.00","850.00","4,672,614"
09/21/2026,"890.00","890.00","890.00","890.00","2,551,877"
09/18/2026,"890.00","890.00","890.00","890.00","3,776,601"
09/17/2026,"815.00","815.00","815.00","815.00","1,696,945"
09/16/2026,"815.00","815.00","815.00","815.00","5,054,551"
09/15/2026,"811.10","811.10","811.10","811.10","6,500,618"
09/14/2026,"811.10","811.10","811.10","811.10","2,616,453"
09/11/2026,"811.10","811.10","811.10","811.10","3,515,381"
09/10/2026,"813.00","813.00","813.00","813.00","1,984,735"
09/09/2026,"813.00","813.00","813.00","813.00","1,582,196"
09/08/2026,"813.00","813.00","813.00","813.00","4,701,086"
09/07/2026,"832.90","832.90","832.90","832.90","4,106,906"
09/04/2026,"813.00","813.00","813.00","813.00","2,698,626"
09/03/2026,"808.00","808.00","808.00","808.00","4,484,912"
09/02/2026,"807.00","807.00","807.00","807.00","1,823,690"
09/01/2026,"807.00","807.00","807.00","807.00","5,817,043"
08/31/2026,"807.00","807.00","807.00","807.00","7,321,852"
08/28/2026,"774.00","774.00","774.00","774.00","2,646,859"
08/27/2026,"779.00","779.00","779.00","779.00","2,093,927"
08/26/2026,"779.00","779.00","779.00","779.00","3,042,803"
08/24/2026,"779.00","779.00","779.00","779.00","1,994,889"
