Date,Open,High,Low,Close,Volume
09/23/2026,"183.40","183.40","183.40","183.40","429,115"
09/22/2026,"176.00","176.00","176.00","176.00","438,457"
09/21/2026,"176.00","176.00","176.00","176.00","3,164,288"
09/18/2026,"160.00","160.00","160.00","160.00","469,892"
09/17/2026,"160.00","160.00","160.00","160.00","477,532"
09/16/2026,"160.00","160.00","160.00","160.00","568,765"
09/15/2026,"160.00","160.00","160.00","160.00","1,007,799"
09/14/2026,"160.00","160.00","160.00","160.00","1,329,687"
09/11/2026,"160.00","160.00","160.00","160.00","325,566"
09/10/2026,"160.00","160.00","160.00","160.00","1,999,143"
09/09/2026,"163.00","163.00","163.00","163.00","349,180"
09/08/2026,"163.00","163.00","163.00","163.00","1,330,959"
09/07/2026,"163.00","163.00","163.00","163.00","1,665,502"
09/04/2026,"164.00","164.00","164.00","164.00","1,346,711"
09/03/2026,"161.40","161.40","161.40","161.40","1,684,583"
09/02/2026,"175.50","175.50","175.50","175.50","1,374,777"
09/01/2026,"195.00","195.00","195.00","195.00","364,812"
08/31/2026,"195.00","195.00","195.00","195.00","248,203"
08/28/2026,"195.00","195.00","195.00","195.00","47,434"
08/27/2026,"195.00","195.00","195.00","195.00","56,082"
08/26/2026,"195.00","195.00","195.00","195.00","49,402"
08/24/2026,"195.00","195.00","195.00","195.00","83,931"
