Date,Open,High,Low,Close,Volume
09/23/2026,"77.90","77.90","77.90","77.90","734,346"
09/22/2026,"77.90","77.90","77.90","77.90","1,133,874"
09/21/2026,"77.45","77.45","77.45","77.45","3,830,148"
09/18/2026,"75.20","75.20","75.20","75.20","1,272,058"
09/17/2026,"76.00","76.00","76.00","76.00","750,136"
09/16/2026,"76.90","76.90","76.90","76.90","5,271,948"
09/15/2026,"73.10","73.10","73.10","73.10","1,296,706"
09/14/2026,"70.00","70.00","70.00","70.00","1,143,878"
09/11/2026,"74.65","74.65","74.65","74.65","4,536,984"
09/10/2026,"74.00","74.00","74.00","74.00","1,736,822"
09/09/2026,"74.00","74.00","74.00","74.00","1,078,912"
09/08/2026,"82.00","82.00","82.00","82.00","2,574,439"
09/07/2026,"82.00","82.00","82.00","82.00","14,452,043"
09/04/2026,"82.45","82.45","82.45","82.45","9,222,353"
09/03/2026,"75.00","75.00","75.00","75.00","1,239,090"
09/02/2026,"75.00","75.00","75.00","75.00","3,993,772"
09/01/2026,"75.10","75.10","75.10","75.10","29,615,744"
08/31/2026,"75.00","75.00","75.00","75.00","31,245,500"
08/28/2026,"69.40","69.40","69.40","69.40","476,190"
08/27/2026,"69.40","69.40","69.40","69.40","12,441,888"
08/26/2026,"69.50","69.50","69.50","69.50","10,715,397"
08/24/2026,"69.00","69.00","69.00","69.00","2,567,379"
