Date,Open,High,Low,Close,Volume
09/23/2026,"2,900.00","2,900.00","2,900.00","2,900.00","141,860"
09/22/2026,"2,900.00","2,900.00","2,900.00","2,900.00","389,380"
09/21/2026,"2,900.00","2,900.00","2,900.00","2,900.00","34,108"
09/18/2026,"2,900.00","2,900.00","2,900.00","2,900.00","29,385"
09/17/2026,"2,900.00","2,900.00","2,900.00","2,900.00","23,350"
09/16/2026,"2,900.00","2,900.00","2,900.00","2,900.00","302,878"
09/15/2026,"2,900.00","2,900.00","2,900.00","2,900.00","169,381"
09/14/2026,"2,900.00","2,900.00","2,900.00","2,900.00","311,781"
09/11/2026,"2,800.00","2,800.00","2,800.00","2,800.00","78,362"
09/10/2026,"2,800.00","2,800.00","2,800.00","2,800.00","234,764"
09/09/2026,"2,800.00","2,800.00","2,800.00","2,800.00","1,145,321"
09/08/2026,"2,995.00","2,995.00","2,995.00","2,995.00","22,971"
09/07/2026,"2,995.00","2,995.00","2,995.00","2,995.00","12,291"
09/04/2026,"2,995.00","2,995.00","2,995.00","2,995.00","132,387"
09/03/2026,"2,995.00","2,995.00","2,995.00","2,995.00","337,973"
09/02/2026,"2,995.00","2,995.00","2,995.00","2,995.00","98,535"
09/01/2026,"2,995.00","2,995.00","2,995.00","2,995.00","324,641"
08/31/2026,"2,830.00","2,830.00","2,830.00","2,830.00","80,215"
08/28/2026,"2,830.00","2,830.00","2,830.00","2,830.00","10,178"
08/27/2026,"2,830.00","2,830.00","2,830.00","2,830.00","326,478"
08/26/2026,"2,840.00","2,840.00","2,840.00","2,840.00","81,471"
08/24/2026,"2,840.00","2,840.00","2,840.00","2,840.00","62,417"
