Date,Open,High,Low,Close,Volume
09/23/2026,"1,276.20","1,276.20","1,276.20","1,276.20","99,756"
09/22/2026,"1,276.20","1,276.20","1,276.20","1,276.20","261,236"
09/21/2026,"1,276.20","1,276.20","1,276.20","1,276.20","223,796"
09/18/2026,"1,418.00","1,418.00","1,418.00","1,418.00","11,776"
09/17/2026,"1,418.00","1,418.00","1,418.00","1,418.00","26,113"
09/16/2026,"1,418.00","1,418.00","1,418.00","1,418.00","21,627"
09/15/2026,"1,418.00","1,418.00","1,418.00","1,418.00","19,778"
09/14/2026,"1,418.00","1,418.00","1,418.00","1,418.00","15,020"
09/11/2026,"1,418.00","1,418.00","1,418.00","1,418.00","29,032"
09/10/2026,"1,418.00","1,418.00","1,418.00","1,418.00","49,757"
09/09/2026,"1,418.00","1,418.00","1,418.00","1,418.00","47,358"
09/08/2026,"1,418.00","1,418.00","1,418.00","1,418.00","11,695"
09/07/2026,"1,418.00","1,418.00","1,418.00","1,418.00","33,779"
09/04/2026,"1,418.00","1,418.00","1,418.00","1,418.00","11,938"
09/03/2026,"1,418.00","1,418.00","1,418.00","1,418.00","30,416"
09/02/2026,"1,418.00","1,418.00","1,418.00","1,418.00","108,133"
09/01/2026,"1,418.00","1,418.00","1,418.00","1,418.00","10,285"
08/31/2026,"1,418.00","1,418.00","1,418.00","1,418.00","23,759"
08/28/2026,"1,418.00","1,418.00","1,418.00","1,418.00","13,893"
08/27/2026,"1,418.00","1,418.00","1,418.00","1,418.00","106,854"
08/26/2026,"1,418.00","1,418.00","1,418.00","1,418.00","13,134"
08/24/2026,"1,418.00","1,418.00","1,418.00","1,418.00","11,901"
