Date,Open,High,Low,Close,Volume
09/23/2026,"2,045.30","2,045.30","2,045.30","2,045.30","118,387"
09/22/2026,"2,045.30","2,045.30","2,045.30","2,045.30","19,612"
09/21/2026,"2,045.30","2,045.30","2,045.30","2,045.30","238,975"
09/18/2026,"2,045.30","2,045.30","2,045.30","2,045.30","57,598"
09/17/2026,"2,045.30","2,045.30","2,045.30","2,045.30","30,559"
09/16/2026,"2,045.30","2,045.30","2,045.30","2,045.30","68,530"
09/15/2026,"2,045.30","2,045.30","2,045.30","2,045.30","39,739"
09/14/2026,"2,045.30","2,045.30","2,045.30","2,045.30","15,419"
09/11/2026,"2,045.30","2,045.30","2,045.30","2,045.30","25,083"
09/10/2026,"2,045.30","2,045.30","2,045.30","2,045.30","469,273"
09/09/2026,"2,045.30","2,045.30","2,045.30","2,045.30","35,292"
09/08/2026,"2,045.30","2,045.30","2,045.30","2,045.30","14,676"
09/07/2026,"2,045.30","2,045.30","2,045.30","2,045.30","26,754"
09/04/2026,"2,045.30","2,045.30","2,045.30","2,045.30","33,472"
09/03/2026,"2,045.30","2,045.30","2,045.30","2,045.30","40,606"
09/02/2026,"2,045.30","2,045.30","2,045.30","2,045.30","51,712"
09/01/2026,"2,045.30","2,045.30","2,045.30","2,045.30","23,580"
08/31/2026,"2,045.30","2,045.30","2,045.30","2,045.30","16,200"
08/28/2026,"2,045.30","2,045.30","2,045.30","2,045.30","209,975"
08/27/2026,"2,045.30","2,045.30","2,045.30","2,045.30","8,630"
08/26/2026,"2,045.30","2,045.30","2,045.30","2,045.30","215,194"
08/24/2026,"2,045.30","2,045.30","2,045.30","2,045.30","28,842"
