Date,Open,High,Low,Close,Volume
09/23/2026,"73.80","73.80","73.80","73.80","4,615,538"
09/22/2026,"74.50","74.50","74.50","74.50","1,446,110"
09/21/2026,"73.60","73.60","73.60","73.60","491,065"
09/18/2026,"73.60","73.60","73.60","73.60","697,791"
09/17/2026,"74.10","74.10","74.10","74.10","1,197,906"
09/16/2026,"75.10","75.10","75.10","75.10","623,418"
09/15/2026,"75.10","75.10","75.10","75.10","1,483,357"
09/14/2026,"83.00","83.00","83.00","83.00","894,781"
09/11/2026,"83.00","83.00","83.00","83.00","1,617,437"
09/10/2026,"83.00","83.00","83.00","83.00","417,236"
09/09/2026,"83.00","83.00","83.00","83.00","604,882"
09/08/2026,"83.00","83.00","83.00","83.00","1,479,943"
09/07/2026,"83.00","83.00","83.00","83.00","685,993"
09/04/2026,"83.00","83.00","83.00","83.00","1,526,636"
09/03/2026,"83.00","83.00","83.00","83.00","1,032,939"
09/02/2026,"83.00","83.00","83.00","83.00","1,391,243"
09/01/2026,"81.00","81.00","81.00","81.00","1,008,588"
08/31/2026,"81.00","81.00","81.00","81.00","3,652,214"
08/28/2026,"75.10","75.10","75.10","75.10","371,776"
08/27/2026,"75.10","75.10","75.10","75.10","872,828"
08/26/2026,"75.10","75.10","75.10","75.10","975,547"
08/24/2026,"77.00","77.00","77.00","77.00","230,747"
