Date,Open,High,Low,Close,Volume
09/23/2026,"14,908","14,908","14,908","14,908","62,388"
09/22/2026,"14,908","14,908","14,908","14,908","38,201"
09/21/2026,"14,908","14,908","14,908","14,908","136,410"
09/18/2026,"14,908","14,908","14,908","14,908","26,969"
09/17/2026,"14,908","14,908","14,908","14,908","172,174"
09/16/2026,"14,908","14,908","14,908","14,908","53,555"
09/15/2026,"14,908","14,908","14,908","14,908","69,346"
09/14/2026,"14,908","14,908","14,908","14,908","35,673"
09/11/2026,"14,908","14,908","14,908","14,908","105,329"
09/10/2026,"14,908","14,908","14,908","14,908","182,894"
09/09/2026,"13,553","13,553","13,553","13,553","170,501"
09/08/2026,"13,553","13,553","13,553","13,553","19,693"
09/07/2026,"13,553","13,553","13,553","13,553","22,979"
09/04/2026,"13,553","13,553","13,553","13,553","143,582"
09/03/2026,"13,553","13,553","13,553","13,553","194,163"
09/02/2026,"12,321","12,321","12,321","12,321","117,458"
09/01/2026,"12,321","12,321","12,321","12,321","314,554"
08/31/2026,"12,321","12,321","12,321","12,321","223,972"
08/28/2026,"12,321","12,321","12,321","12,321","158,800"
08/27/2026,"11,201","11,201","11,201","11,201","108,530"
08/26/2026,"11,201","11,201","11,201","11,201","221,811"
08/24/2026,"11,201","11,201","11,201","11,201","30,074"
