Date,Open,High,Low,Close,Volume
09/23/2026,"164.00","164.00","164.00","164.00","2,197,062"
09/22/2026,"163.85","163.85","163.85","163.85","1,945,646"
09/21/2026,"153.00","153.00","153.00","153.00","3,063,740"
09/18/2026,"153.00","153.00","153.00","153.00","2,375,252"
09/17/2026,"151.50","151.50","151.50","151.50","487,927"
09/16/2026,"151.50","151.50","151.50","151.50","1,619,211"
09/15/2026,"152.90","152.90","152.90","152.90","10,576,370"
09/14/2026,"152.90","152.90","152.90","152.90","299,203"
09/11/2026,"152.90","152.90","152.90","152.90","9,156,581"
09/10/2026,"155.35","155.35","155.35","155.35","2,517,398"
09/09/2026,"156.50","156.50","156.50","156.50","938,686"
09/08/2026,"156.50","156.50","156.50","156.50","1,002,733"
09/07/2026,"156.50","156.50","156.50","156.50","208,262"
09/04/2026,"156.50","156.50","156.50","156.50","5,346,749"
09/03/2026,"153.30","153.30","153.30","153.30","127,492"
09/02/2026,"153.30","153.30","153.30","153.30","28,742,678"
09/01/2026,"156.50","156.50","156.50","156.50","1,934,922"
08/31/2026,"156.10","156.10","156.10","156.10","2,117,957"
08/28/2026,"156.10","156.10","156.10","156.10","336,706"
08/27/2026,"156.10","156.10","156.10","156.10","160,653"
08/26/2026,"156.10","156.10","156.10","156.10","330,980"
08/24/2026,"156.10","156.10","156.10","156.10","603,072"
