Date,Open,High,Low,Close,Volume
09/23/2026,"37.00","37.00","37.00","37.00","7,064,197"
09/22/2026,"37.00","37.00","37.00","37.00","1,915,911"
09/21/2026,"37.00","37.00","37.00","37.00","2,188,898"
09/18/2026,"34.65","34.65","34.65","34.65","1,048,470"
09/17/2026,"34.65","34.65","34.65","34.65","2,632,373"
09/16/2026,"34.35","34.35","34.35","34.35","5,808,463"
09/15/2026,"33.00","33.00","33.00","33.00","1,866,700"
09/14/2026,"33.00","33.00","33.00","33.00","1,230,914"
09/11/2026,"34.00","34.00","34.00","34.00","1,907,297"
09/10/2026,"34.55","34.55","34.55","34.55","7,174,514"
09/09/2026,"33.05","33.05","33.05","33.05","3,653,533"
09/08/2026,"35.00","35.00","35.00","35.00","5,094,991"
09/07/2026,"37.00","37.00","37.00","37.00","2,117,438"
09/04/2026,"37.00","37.00","37.00","37.00","1,017,902"
09/03/2026,"37.00","37.00","37.00","37.00","1,691,837"
09/02/2026,"37.00","37.00","37.00","37.00","2,458,667"
09/01/2026,"36.15","36.15","36.15","36.15","10,278,432"
08/31/2026,"36.75","36.75","36.75","36.75","8,078,721"
08/28/2026,"36.00","36.00","36.00","36.00","833,268"
08/27/2026,"36.00","36.00","36.00","36.00","1,135,498"
08/26/2026,"36.00","36.00","36.00","36.00","1,480,085"
08/24/2026,"36.00","36.00","36.00","36.00","2,209,202"
