Date,Open,High,Low,Close,Volume
09/23/2026,"46.00","46.00","46.00","46.00","29,012,289"
09/22/2026,"46.00","46.00","46.00","46.00","31,781,893"
09/21/2026,"44.20","44.20","44.20","44.20","16,016,859"
09/18/2026,"44.55","44.55","44.55","44.55","4,398,614"
09/17/2026,"44.65","44.65","44.65","44.65","9,025,963"
09/16/2026,"44.75","44.75","44.75","44.75","19,334,014"
09/15/2026,"44.00","44.00","44.00","44.00","17,536,520"
09/14/2026,"43.80","43.80","43.80","43.80","8,593,321"
09/11/2026,"44.75","44.75","44.75","44.75","9,702,632"
09/10/2026,"43.90","43.90","43.90","43.90","4,596,435"
09/09/2026,"42.95","42.95","42.95","42.95","13,449,924"
09/08/2026,"42.75","42.75","42.75","42.75","20,847,340"
09/07/2026,"45.00","45.00","45.00","45.00","11,283,913"
09/04/2026,"45.85","45.85","45.85","45.85","112,421,391"
09/03/2026,"46.00","46.00","46.00","46.00","113,261,570"
09/02/2026,"46.50","46.50","46.50","46.50","13,993,825"
09/01/2026,"47.85","47.85","47.85","47.85","18,128,123"
08/31/2026,"47.35","47.35","47.35","47.35","31,489,553"
08/28/2026,"45.90","45.90","45.90","45.90","15,184,283"
08/27/2026,"45.80","45.80","45.80","45.80","10,356,999"
08/26/2026,"44.15","44.15","44.15","44.15","27,730,412"
08/24/2026,"44.45","44.45","44.45","44.45","89,625,289"
