Date,Open,High,Low,Close,Volume
09/23/2026,"109.95","109.95","109.95","109.95","672,025"
09/22/2026,"109.95","109.95","109.95","109.95","9,928,609"
09/21/2026,"109.95","109.95","109.95","109.95","1,142,282"
09/18/2026,"109.95","109.95","109.95","109.95","1,043,455"
09/17/2026,"109.95","109.95","109.95","109.95","458,643"
09/16/2026,"109.95","109.95","109.95","109.95","359,640"
09/15/2026,"109.95","109.95","109.95","109.95","11,336,481"
09/14/2026,"110.10","110.10","110.10","110.10","488,141"
09/11/2026,"110.10","110.10","110.10","110.10","372,001"
09/10/2026,"110.10","110.10","110.10","110.10","2,015,518"
09/09/2026,"110.10","110.10","110.10","110.10","383,493"
09/08/2026,"110.10","110.10","110.10","110.10","321,851"
09/07/2026,"110.10","110.10","110.10","110.10","1,176,551"
09/04/2026,"110.10","110.10","110.10","110.10","649,473"
09/03/2026,"110.10","110.10","110.10","110.10","1,346,066"
09/02/2026,"110.00","110.00","110.00","110.00","1,580,436"
09/01/2026,"110.00","110.00","110.00","110.00","3,126,200"
08/31/2026,"114.00","114.00","114.00","114.00","256,062"
08/28/2026,"114.00","114.00","114.00","114.00","86,255"
08/27/2026,"114.00","114.00","114.00","114.00","113,363"
08/26/2026,"114.00","114.00","114.00","114.00","229,263"
08/24/2026,"114.00","114.00","114.00","114.00","381,123"
