Date,Open,High,Low,Close,Volume
09/23/2026,"135.00","135.00","135.00","135.00","32,856,723"
09/22/2026,"132.00","132.00","132.00","132.00","105,654,023"
09/21/2026,"128.60","128.60","128.60","128.60","77,072,703"
09/18/2026,"128.40","128.40","128.40","128.40","30,717,172"
09/17/2026,"128.50","128.50","128.50","128.50","78,558,242"
09/16/2026,"128.40","128.40","128.40","128.40","34,868,043"
09/15/2026,"128.00","128.00","128.00","128.00","30,830,057"
09/14/2026,"125.90","125.90","125.90","125.90","18,223,258"
09/11/2026,"125.30","125.30","125.30","125.30","9,773,489"
09/10/2026,"124.50","124.50","124.50","124.50","14,318,359"
09/09/2026,"124.00","124.00","124.00","124.00","22,103,889"
09/08/2026,"122.00","122.00","122.00","122.00","19,101,588"
09/07/2026,"127.00","127.00","127.00","127.00","9,602,496"
09/04/2026,"128.60","128.60","128.60","128.60","30,979,506"
09/03/2026,"127.50","127.50","127.50","127.50","11,856,355"
09/02/2026,"127.10","127.10","127.10","127.10","12,671,975"
09/01/2026,"128.30","128.30","128.30","128.30","24,800,000"
08/31/2026,"127.40","127.40","127.40","127.40","25,370,492"
08/28/2026,"121.00","121.00","121.00","121.00","41,871,578"
08/27/2026,"119.50","119.50","119.50","119.50","69,948,188"
08/26/2026,"119.40","119.40","119.40","119.40","30,869,121"
08/24/2026,"122.00","122.00","122.00","122.00","8,743,071"
