Date,Open,High,Low,Close,Volume
07/02/2026,120.5,120.5,120.5,120.5,21752760.00
07/01/2026,122,122,122,122,7043005.00
06/30/2026,125,125,125,125,12090486.00
06/29/2026,127,127,127,127,12220943.00
06/26/2026,127.9,127.9,127.9,127.9,11266420.00
06/25/2026,130,130,130,130,14896161.00
06/24/2026,129.8,129.8,129.8,129.8,10672506.00
06/23/2026,129,129,129,129,15852627.00
06/22/2026,127.1,127.1,127.1,127.1,15888473.00
06/19/2026,115.55,115.55,115.55,115.55,14012770.00
06/18/2026,128.35,128.35,128.35,128.35,24675580.00
06/17/2026,129,129,129,129,15048140.00
06/16/2026,126,126,126,126,20240260.00
06/15/2026,135.65,135.65,135.65,135.65,53910078.00
06/11/2026,135.95,135.95,135.95,135.95,9170859.00
06/10/2026,136,136,136,136,23258039.00
06/09/2026,136,136,136,136,49191738.00
06/08/2026,135,135,135,135,18857115.00
06/05/2026,134.7,134.7,134.7,134.7,10066660.00
06/04/2026,135,135,135,135,6960949.00
06/03/2026,133.4,133.4,133.4,133.4,11050530.00
06/02/2026,136,136,136,136,9171084.00
