Date,Open,High,Low,Close,Volume
07/02/2026,720,720,720,720,5114511.00
07/01/2026,720,720,720,720,2245177.00
06/30/2026,720,720,720,720,10827495.00
06/29/2026,747,747,747,747,3453887.00
06/26/2026,830,830,830,830,2005563.00
06/25/2026,830,830,830,830,2650950.00
06/24/2026,830,830,830,830,2489738.00
06/23/2026,830,830,830,830,10629942.00
06/22/2026,830,830,830,830,20874688.00
06/19/2026,800,800,800,800,6270458.00
06/18/2026,800,800,800,800,8104118.00
06/17/2026,800,800,800,800,10858060.00
06/16/2026,800,800,800,800,6084993.00
06/15/2026,800,800,800,800,1504210.00
06/11/2026,800,800,800,800,7008897.00
06/10/2026,800,800,800,800,5873797.00
06/09/2026,790,790,790,790,12172910.00
06/08/2026,790,790,790,790,5793161.00
06/05/2026,775,775,775,775,4158130.00
06/04/2026,763,763,763,763,2385362.00
06/03/2026,763,763,763,763,15708370.00
06/02/2026,820,820,820,820,1675443.00
