Date,Open,High,Low,Close,Volume
07/02/2026,101.95,101.95,101.95,101.95,41149703.00
07/01/2026,105.05,105.05,105.05,105.05,19627148.00
06/30/2026,110,110,110,110,21043684.00
06/29/2026,113.5,113.5,113.5,113.5,21610348.00
06/26/2026,114.95,114.95,114.95,114.95,10632475.00
06/25/2026,115,115,115,115,18935129.00
06/24/2026,114.5,114.5,114.5,114.5,13232842.00
06/23/2026,117.9,117.9,117.9,117.9,49530578.00
06/22/2026,117.8,117.8,117.8,117.8,30045352.00
06/19/2026,110,110,110,110,35173379.00
06/18/2026,115.5,115.5,115.5,115.5,23510699.00
06/17/2026,119,119,119,119,15386700.00
06/16/2026,120,120,120,120,24937480.00
06/15/2026,123.5,123.5,123.5,123.5,16618859.00
06/11/2026,124.5,124.5,124.5,124.5,27357869.00
06/10/2026,127,127,127,127,17102461.00
06/09/2026,129,129,129,129,26714150.00
06/08/2026,128.5,128.5,128.5,128.5,15655074.00
06/05/2026,128,128,128,128,11030570.00
06/04/2026,124.9,124.9,124.9,124.9,26936900.00
06/03/2026,124.9,124.9,124.9,124.9,33085262.00
06/02/2026,125.95,125.95,125.95,125.95,38091391.00
